protocol_mode,transaction_id,I_ac,logical_download_id,true_device_id,mno,profile_id
aura_rsp,86BC02CB1462E460A30B2F95C564343E,IAC-1A93323EF43C0B32932CA1E05A22295E,D0031-M04,Device-0031,MNO-D,PROFILE-97c6cf0c1e2c23a288aa
standard_rsp,F0F359A84638C67BE084A06DBC5E2B51,MID-675C4B29D0F4AE4F3291EBA01C40863A,D0050-M01,Device-0050,MNO-A,PROFILE-0e2b1dbd9d9479a8631c
aura_rsp,8FEDBED293994A430388FDF37F4BF945,IAC-D446E33FECC837BDFB95C9514F0157AD,D0050-M01,Device-0050,MNO-A,PROFILE-0e2b1dbd9d9479a8631c
standard_rsp,465FD39B5ED85BDCF49CE1D9EB09AF4F,MID-8E7A686CAD0D6BA699B1835DD7E405E5,D0245-M03,Device-0245,MNO-C,PROFILE-b96707b42cb3e6ee1a5d
aura_rsp,4021724227A81742CD1D04BF1F8FBBC3,IAC-757A537F75465D1FB88D56B647105319,D0245-M03,Device-0245,MNO-C,PROFILE-b96707b42cb3e6ee1a5d
standard_rsp,49B6260E395744E4B15C96D1A3FAFCC9,MID-0C2474E5A3E935065FB71D40E96425EC,D0124-M04,Device-0124,MNO-D,PROFILE-3d8deb89a097866cd684
aura_rsp,742DFD94F98A3285CF6A49BD8599F420,IAC-E39A18C7EDEFAEA4FF58A702151E2B7F,D0124-M04,Device-0124,MNO-D,PROFILE-3d8deb89a097866cd684
standard_rsp,DB2787681FDDD86DE47E8C40743B9DE1,MID-C32EB6AC3F19726E243DB22A3E2C03F6,D0217-M02,Device-0217,MNO-B,PROFILE-7cb312c87d0552931612
aura_rsp,4911B05502B549B0D42E1EDD88B934DF,IAC-20B39F6F0BB4E214C55D3B8C86E86BB3,D0217-M02,Device-0217,MNO-B,PROFILE-7cb312c87d0552931612
standard_rsp,8EFB9B8E0F18466E242386BF696B2EBE,MID-64D32E9FEB6948FAFB91545E48D25CDB,D0235-M02,Device-0235,MNO-B,PROFILE-4fe8fde2ca400f105af8
aura_rsp,E7C17246CFDCA796C4C13B794AEEED6F,IAC-CF21785C1CD1745A47D144139D5205EF,D0235-M02,Device-0235,MNO-B,PROFILE-4fe8fde2ca400f105af8
standard_rsp,03EC5730071C4F2C08819D06DFE20A0C,MID-D245399002C13737F56E7E4AF6420B95,D0011-M04,Device-0011,MNO-D,PROFILE-702c9ef3899a9cbc5418
aura_rsp,94FA67D69F51981FB47466D2EC99D071,IAC-0B27327563930A4381A02547B4D533BF,D0011-M04,Device-0011,MNO-D,PROFILE-702c9ef3899a9cbc5418
standard_rsp,88AF1DC2A697BA980744E2F0D49CF2BB,MID-5F4E43DCBC32752824B391AC656142A0,D0025-M01,Device-0025,MNO-A,PROFILE-d1c05dcc550845ed44b7
aura_rsp,DD43C95A61183B302F76310D1E91D9E9,IAC-9124B5E93100BEBDB5C72AEAD10C1E63,D0025-M01,Device-0025,MNO-A,PROFILE-d1c05dcc550845ed44b7
standard_rsp,78F49763E87976417930DA8432A24E78,MID-21E4C41959B9B64BFC973C74B51F46E4,D0120-M01,Device-0120,MNO-A,PROFILE-b567242843ca57ca975a
aura_rsp,8C145A52365AC1530AA0855E7509443B,IAC-154358A93D74539E1914A992A9302EEA,D0120-M01,Device-0120,MNO-A,PROFILE-b567242843ca57ca975a
standard_rsp,9F4378227123E84E37535B99C51BFA7D,MID-C165D0B5D3C49D37F0703C4A64BB69B9,D0185-M01,Device-0185,MNO-A,PROFILE-843eab5261e2bd581821
aura_rsp,1878B55FE6B7E40E97D76313A2177D7B,IAC-E4B8D4C6DBCCD1ED8DDA4B10DCB0BB81,D0185-M01,Device-0185,MNO-A,PROFILE-843eab5261e2bd581821
standard_rsp,F7497BD55BEAB036F4B3A87019E79FC7,MID-7C88E87718954AC6409908604C2AB6B9,D0161-M03,Device-0161,MNO-C,PROFILE-2883b3bb6636890d8912
aura_rsp,569E6645BEAB2A9B87FB18BC0DE0412C,IAC-136D1809E424B3E685122628D6C0DD09,D0161-M03,Device-0161,MNO-C,PROFILE-2883b3bb6636890d8912
standard_rsp,DACB7725EFEED145BC0F847FC710C696,MID-DE79095785BB691050FF53FCA34B5F6F,D0039-M02,Device-0039,MNO-B,PROFILE-8f804c7678bf795b8b5b
aura_rsp,5B35C782E151CB641FD1B8DC555EB7A3,IAC-F950F9C463F9918CE5AAA564B2A4EFD6,D0039-M02,Device-0039,MNO-B,PROFILE-8f804c7678bf795b8b5b
standard_rsp,97872D01F12D3813596938208FD59C99,MID-1831C387AF24C0FC704307B43C8B4479,D0071-M03,Device-0071,MNO-C,PROFILE-538ddf5ef83b9c21527c
aura_rsp,89A8E70E7D8B71790212A917E424DA9D,IAC-37C5B18B57D262215532DE705CB06F66,D0071-M03,Device-0071,MNO-C,PROFILE-538ddf5ef83b9c21527c
standard_rsp,1729BDF365573C1A26FF046A57E0F358,MID-4C85015418D3894440BAB8AD722312AB,D0108-M01,Device-0108,MNO-A,PROFILE-3f760ceda23a19c1e317
aura_rsp,8430C3BC058381A9EE22AA1074F6ADE8,IAC-3BE23F1C81C375C98A354034608F3874,D0108-M01,Device-0108,MNO-A,PROFILE-3f760ceda23a19c1e317
standard_rsp,31F0E9170F9C16104F6E10D96F0069B2,MID-D6FBA6D1D47A075127A9CFB937CF6941,D0133-M01,Device-0133,MNO-A,PROFILE-954b9790c33207914af7
aura_rsp,DCFDE8C0B2613FB2C2FEC601EA71A4AC,IAC-CE8472DE4108DDC85989A3F1E9B5A736,D0133-M01,Device-0133,MNO-A,PROFILE-954b9790c33207914af7
standard_rsp,A190440F0758ED523B7FF8104AD8C4D8,MID-8516E4DD79978F99C92BF8C350108FED,D0234-M04,Device-0234,MNO-D,PROFILE-5225c8fcd63a9f4ecb66
aura_rsp,11836D34B904C6FBC48E96DB954A4BB7,IAC-0371004EAD8415C4DF4365157078BE02,D0234-M04,Device-0234,MNO-D,PROFILE-5225c8fcd63a9f4ecb66
standard_rsp,C5D26CC3D2D0D33364077FC34A2A1668,MID-661C85CAD959D6CE8DE0B6B610C02EFB,D0174-M04,Device-0174,MNO-D,PROFILE-3ecce3ef634ad1032c51
aura_rsp,BFD1AA2AAC72CF505D912347E076D3B1,IAC-0CC2A96A2A8F4E47E1C43C45FC513687,D0174-M04,Device-0174,MNO-D,PROFILE-3ecce3ef634ad1032c51
standard_rsp,8E3C59714B5CAF47A25BA90A523FC3B5,MID-4548D36DD97B34BD4D92C7958DC2F459,D0210-M02,Device-0210,MNO-B,PROFILE-7d43e921592694239961
aura_rsp,78341DEDE6B8FC1505759F21456E5D83,IAC-29ED7C7C6A5DEEC9E0F8A506F4BD828D,D0210-M02,Device-0210,MNO-B,PROFILE-7d43e921592694239961
standard_rsp,8424DC8EAFA21FBCB8BC9ABCCDB3E3B8,MID-7CC5729652E890465D9466936599242A,D0234-M01,Device-0234,MNO-A,PROFILE-7aefed079b12194d29c8
aura_rsp,F8661B1B679B5536347CDBC62F31B98C,IAC-8E911D213A852FB37133D0936189A3F3,D0234-M01,Device-0234,MNO-A,PROFILE-7aefed079b12194d29c8
standard_rsp,982121182D760FA71A77212901A7C6C7,MID-EFE447F6B636982179F06F0F57825F0F,D0092-M01,Device-0092,MNO-A,PROFILE-ad08951dbd01bd195b35
aura_rsp,F48843F6CEA286E19E5FAC18BFCEA2F4,IAC-9F8185319747A6BE95D566A46E20FF5B,D0092-M01,Device-0092,MNO-A,PROFILE-ad08951dbd01bd195b35
standard_rsp,5EB4EAC155C103BC86679AD50AD9794C,MID-6C388148F7BF50462912B12640089C5F,D0154-M02,Device-0154,MNO-B,PROFILE-c37e27b48e05139867c9
aura_rsp,7371CF3D6E691D7390C5248805100EBE,IAC-7536CF657239253891FA99A7241AA5E6,D0154-M02,Device-0154,MNO-B,PROFILE-c37e27b48e05139867c9
standard_rsp,CC09B3501FDE335CB33AAC2CD35F7B1E,MID-2E53AF0F8077D65C544D500FBACB3F50,D0056-M03,Device-0056,MNO-C,PROFILE-cb27a4825b067898c98f
aura_rsp,C82B38F4FED01784F5B468BE61599F82,IAC-69215E61725D2F2FBAB17CC3C91A7814,D0056-M03,Device-0056,MNO-C,PROFILE-cb27a4825b067898c98f
standard_rsp,8DFFC4C91A3BC10ECF231A8A8A0B52C3,MID-5109069978D5FBEE97C95FE73B60A66F,D0236-M02,Device-0236,MNO-B,PROFILE-ad6b91cf329c89e88811
aura_rsp,C91CA353FE84F66C9CC236C32F697CBC,IAC-681B9B29F68363690252A0727E14B38F,D0236-M02,Device-0236,MNO-B,PROFILE-ad6b91cf329c89e88811
standard_rsp,C5466188C47BC20C28B4FAD026DF095C,MID-6579208986954510D58F165ED5C0D17E,D0221-M04,Device-0221,MNO-D,PROFILE-a62ec95661f3f3157d63
aura_rsp,B93833EF50F246723E11D97491C86D4F,IAC-FF8812AB2070C52CEC00943F58E0806B,D0221-M04,Device-0221,MNO-D,PROFILE-a62ec95661f3f3157d63
standard_rsp,48F1FF8319B51BA91D59189E6D4774B0,MID-F7AD6636A3808219693CCBD5508364B4,D0214-M04,Device-0214,MNO-D,PROFILE-e95ed9ef92e640ad987d
aura_rsp,B1F38EA324C80970C76B5F6EBC24FFC7,IAC-1CE5D42C312CEF0C17EAB49B391B8660,D0214-M04,Device-0214,MNO-D,PROFILE-e95ed9ef92e640ad987d
standard_rsp,F6FA949F8463647BFEDA037747DC14F8,MID-CE688A1FAC2E49F1F915CCAD35B56572,D0101-M04,Device-0101,MNO-D,PROFILE-6d08c4d65594fdb08479
aura_rsp,5D9D58455CF85375E7402FA17BCC6587,IAC-53245DA22ECD349AEF54083EEF4D4F19,D0101-M04,Device-0101,MNO-D,PROFILE-6d08c4d65594fdb08479
standard_rsp,C67E7DD8E38F4B4EFD2F9E28C05DA7CE,MID-F4A1C6CEC32B0DAE01FF1BD03E99A591,D0218-M02,Device-0218,MNO-B,PROFILE-bc484e99530fca4eac41
aura_rsp,0935A47AAAF6ADBAC13F4CD0B8801155,IAC-33FC74E90BDC1A1AC9685E248E8BB288,D0218-M02,Device-0218,MNO-B,PROFILE-bc484e99530fca4eac41
standard_rsp,B14C5BCCE2AE2BC7B13CA87E9653157F,MID-DC8126C4ADA42D1CD022CFE0D55A7CF6,D0023-M03,Device-0023,MNO-C,PROFILE-39d6018d0069cc9315b7
aura_rsp,A248334D3DC330CD5A88131BEAA94779,IAC-409983FA15FA31BD5B034F8BDD174A70,D0023-M03,Device-0023,MNO-C,PROFILE-39d6018d0069cc9315b7
standard_rsp,6B796E4A8B3A6734F8E1B9589A5A5C75,MID-04C8CD8F422B486D402B3C02DCE05D50,D0216-M04,Device-0216,MNO-D,PROFILE-ebb7482e9af52be6d731
aura_rsp,675613B23BB799B5E67E86CD20B49B88,IAC-AA8E43D8E28E77A2E5C69BE55357D832,D0216-M04,Device-0216,MNO-D,PROFILE-ebb7482e9af52be6d731
standard_rsp,480935A86CEC6EB1B99A620994165D3C,MID-E2F4CE1641E3F23190DDCFFC45FC3688,D0218-M01,Device-0218,MNO-A,PROFILE-ded9bb352a075232f556
aura_rsp,F9B173FDC20F52685C83B816DE80F9EC,IAC-6EF216FE7380A353C0A8AA6666AA7D61,D0218-M01,Device-0218,MNO-A,PROFILE-ded9bb352a075232f556
standard_rsp,7B5E63DC3D461FDF4CAF7D7395135C0A,MID-18B57D13454DFC83302C8E48A3A2D96D,D0028-M02,Device-0028,MNO-B,PROFILE-5d74d2d0e1f332f0ad50
aura_rsp,8C90062E78095C062C7E41A8FA879D95,IAC-8B837FDACF88800A62295148B3469482,D0028-M02,Device-0028,MNO-B,PROFILE-5d74d2d0e1f332f0ad50
standard_rsp,CB50FA2A5E1F0663AAD48496C3263D83,MID-45720CA9D5721F306669DC60895CA178,D0199-M02,Device-0199,MNO-B,PROFILE-23536f7160c3b18aeffd
aura_rsp,BC0EF958ED3E3C84FBAE135BD7F2652F,IAC-DCAAE8DC9B75D7ADBDCEBEA8D5A170B7,D0199-M02,Device-0199,MNO-B,PROFILE-23536f7160c3b18aeffd
standard_rsp,B3C2C7DF1C0F648F668F768651CBE66A,MID-5EE7D3ADB633F7128D28CC4ADBFC1807,D0143-M01,Device-0143,MNO-A,PROFILE-5c216c90805a5964ef27
aura_rsp,601C7FF29DCBFBE6702E4EB6FD09B5CD,IAC-2BF84495593E42DFAEED652D56E8A5A7,D0143-M01,Device-0143,MNO-A,PROFILE-5c216c90805a5964ef27
standard_rsp,30023C01219C233A0DE155CBF2113EDA,MID-8977FA28A47D9A4F835A46E68EAE8FE1,D0099-M01,Device-0099,MNO-A,PROFILE-cef96f7a28ebae1f92a4
aura_rsp,85AE98B759AE4BABAE40BC06DB00BB3F,IAC-42D4411521847469E54F5AB5B4BC1694,D0099-M01,Device-0099,MNO-A,PROFILE-cef96f7a28ebae1f92a4
standard_rsp,41262942113EB0F57C53AB2F6408A4BB,MID-88AC9060C0BB737783160EDE5F1413A9,D0132-M02,Device-0132,MNO-B,PROFILE-fe299785a6c35a89a6d7
aura_rsp,ED734D316302F08E232940747CC49EF2,IAC-BECD2AE3E14D872C6E40539C0D41DC56,D0132-M02,Device-0132,MNO-B,PROFILE-fe299785a6c35a89a6d7
standard_rsp,BCA91A30B6BD273B757946831D373915,MID-1AA87E828BC33D58E06C968BD4227F67,D0010-M04,Device-0010,MNO-D,PROFILE-4331693544ab2028376b
aura_rsp,C91874801189BF5ACBA6EE7D6A1D0B2C,IAC-A47AC5B4FD12D4AE907C87BA56EE357D,D0010-M04,Device-0010,MNO-D,PROFILE-4331693544ab2028376b
standard_rsp,91059258706ABD98A876530112918891,MID-72844349DDF640A80F3659648C3B15EB,D0225-M04,Device-0225,MNO-D,PROFILE-85188d03b955cae07cde
aura_rsp,7FBD7B3471F09067CB418A751802CF2A,IAC-05A3B46C7D42469071C3E955533CB43C,D0225-M04,Device-0225,MNO-D,PROFILE-85188d03b955cae07cde
standard_rsp,C596DC5D0356E354B405D5BF6615E2B4,MID-05F1E8BBB5F2D07B76902CCD0016F98E,D0148-M02,Device-0148,MNO-B,PROFILE-d7f259d4d01085169ad6
aura_rsp,55F0FDEB3762EC08A57BBB543DD195E0,IAC-B189339B29352AA95D400649D1D8F8F8,D0148-M02,Device-0148,MNO-B,PROFILE-d7f259d4d01085169ad6
standard_rsp,9B3E936F74A283D0616608CA4BC2DC31,MID-5FA9B4E3F9472BFFA6A28B37FA30BDF8,D0008-M04,Device-0008,MNO-D,PROFILE-68c716e21f974042c797
aura_rsp,A1EB53999DAB676BF9EE556E767A9148,IAC-96EBEF40EDAFCA3B3F8F68DBD82A4820,D0008-M04,Device-0008,MNO-D,PROFILE-68c716e21f974042c797
standard_rsp,673BB17E84DD652E28A0E5DFE8680596,MID-B762417A549CB4035AC5A4CFCFFA5F12,D0043-M01,Device-0043,MNO-A,PROFILE-c5854ecd3a60a57ad333
aura_rsp,DDF9301817721905D8D0F7E8A0E42B2D,IAC-14DF4A65376CEB7334CB77DBEAE96EC0,D0043-M01,Device-0043,MNO-A,PROFILE-c5854ecd3a60a57ad333
standard_rsp,7D85D1D72D2986B65AD39ED8B81EDC3F,MID-26313E520FABD3D75A3CB06D089269CD,D0149-M01,Device-0149,MNO-A,PROFILE-424e5d9f2c4dad365fbd
aura_rsp,EC18EAC18084C026E089640D4090070B,IAC-CB90F52E3B43A85009FDCBE7C6AEAC8F,D0149-M01,Device-0149,MNO-A,PROFILE-424e5d9f2c4dad365fbd
standard_rsp,65AFCD36BE904173F6E628CFF3C136A4,MID-C63B2C5CF9BA5F8D8CD656BB5E1B7032,D0005-M04,Device-0005,MNO-D,PROFILE-9030c3ce8fcccf4a1fb7
aura_rsp,5C07C2EF7E6554EDC13AD3FCF8998F19,IAC-28A25A0837A132B3EFA07825C8734542,D0005-M04,Device-0005,MNO-D,PROFILE-9030c3ce8fcccf4a1fb7
standard_rsp,01BDB26BFAC9038F4177EB0065E6A920,MID-CF96C855AD1FC168E83A67B56951502D,D0141-M03,Device-0141,MNO-C,PROFILE-7652d8bbc17ab1c89a4c
aura_rsp,076A7B9C7B3CDA3554EAC97C862BE366,IAC-E3E34098CDB523EAAB66C14045B3D407,D0141-M03,Device-0141,MNO-C,PROFILE-7652d8bbc17ab1c89a4c
standard_rsp,681B6EAF0AE28189ABBF3638BC1D79EA,MID-5938C093F51AFEFE90F761E3F08D1ED7,D0231-M02,Device-0231,MNO-B,PROFILE-6bdc1e005296d6890d84
aura_rsp,F96F29230D0A1605CF0B76D16E1FD48E,IAC-AA8FEE2AF7D815B1DC8BCC1A72BCA55B,D0231-M02,Device-0231,MNO-B,PROFILE-6bdc1e005296d6890d84
standard_rsp,A030FB9A0E285FF2F068F54C139D94A3,MID-CA71078CEE41544ADDB69E680D7B4E5D,D0032-M04,Device-0032,MNO-D,PROFILE-6480ba5f5b6f81952579
aura_rsp,72FCB8C9971F290CF6C2998011AA22D0,IAC-E63CE674447E1DFC72A57201725506F2,D0032-M04,Device-0032,MNO-D,PROFILE-6480ba5f5b6f81952579
standard_rsp,172320B7B248E13BFD4AAB5EE1BE5B2D,MID-1211747E33AB44293860C9F45E07231F,D0105-M03,Device-0105,MNO-C,PROFILE-0fe80b7c3246f308fe92
aura_rsp,6753EA3AE3175D67F0E7C5B02C7B9D10,IAC-456B0F122C285F6E831C080544E89DFB,D0105-M03,Device-0105,MNO-C,PROFILE-0fe80b7c3246f308fe92
standard_rsp,AFF1EAEB16FFD675DF7A3B89A3FB7EAA,MID-E5775C71E755CB2C0ADA60247E6B24C2,D0161-M02,Device-0161,MNO-B,PROFILE-aab4bbf43f0e1010da16
aura_rsp,3EC0CF479B28255A297352E0CE16BA79,IAC-C37282E90A0DE46FE16E44F86239F0A3,D0161-M02,Device-0161,MNO-B,PROFILE-aab4bbf43f0e1010da16
standard_rsp,CC276DE5D3F33B4A9C321A212953B937,MID-35AB8F4BA7E4D602FABF86724241247A,D0064-M02,Device-0064,MNO-B,PROFILE-903e44bcf04e186d43ee
aura_rsp,9D385926FA68162F79D225DC4B447402,IAC-5574937ADA74303CC1646C6070DDBF5A,D0064-M02,Device-0064,MNO-B,PROFILE-903e44bcf04e186d43ee
standard_rsp,A6463F49BB6F7B916A9BBEC5A4542689,MID-103AA3C050A7D3539ABFAAE0CB044858,D0190-M03,Device-0190,MNO-C,PROFILE-d0ca812ba525c0270ca8
aura_rsp,99C182C600C9255A357E0E1F30727BFC,IAC-5713CFA07E504DA78991CEA871BE14DE,D0190-M03,Device-0190,MNO-C,PROFILE-d0ca812ba525c0270ca8
standard_rsp,542AC3612A4B1F49AA5F5F30B5923EFD,MID-3DD61C951B4B0779558EC78FC29D488F,D0040-M01,Device-0040,MNO-A,PROFILE-b9aec9973b1a4a492e42
aura_rsp,E0CDF9F37D7FB6E433399D56C0E1AC77,IAC-7B4A5DDFD94F3AB1F321AEDA87E2A017,D0040-M01,Device-0040,MNO-A,PROFILE-b9aec9973b1a4a492e42
standard_rsp,396CAED02EFBA721FEC3C7CA28B82BD4,MID-F5CAD47F38CD11D0DEC84C100D560EDF,D0096-M03,Device-0096,MNO-C,PROFILE-911f3dcfaac41d61d6b6
aura_rsp,014202E7EB722900C17346BAD2971A61,IAC-E107DEB51FD1D985BA8E523EEA2737E5,D0096-M03,Device-0096,MNO-C,PROFILE-911f3dcfaac41d61d6b6
standard_rsp,373450128F75F3850326DF9B399A2E6F,MID-230CC0AC4DFDD4E1D2BEC545939B4030,D0051-M04,Device-0051,MNO-D,PROFILE-6be5d83fde21b9741d4e
aura_rsp,DC9DB47FEA3335F1D9F1BAD4705DC20D,IAC-ED10C8C51CED3BF050976FC2C6AEDE53,D0051-M04,Device-0051,MNO-D,PROFILE-6be5d83fde21b9741d4e
standard_rsp,DBF40BEBA06B7CCBE7815B8672DCCAD0,MID-815500EE46D16879E9E3BA895BDD656B,D0118-M04,Device-0118,MNO-D,PROFILE-ab02d72f09d50bcf4258
