protocol_mode,transaction_id,direct_cluster,learned_cluster
standard_rsp,5811858671DC765405F82A3E87B2C925,Cluster-013,Cluster-013
standard_rsp,3D24E8FC456C67A0BB0A86DD671ADBA6,Cluster-003,Cluster-003
standard_rsp,21133C2333313A01D34276358D0FCF2A,Cluster-002,Cluster-002
standard_rsp,17663E7E40AF7B1EABCC3A336F0FD45F,Cluster-007,Cluster-007
standard_rsp,B981B563BDD4C5BA38A2CEBB185F92FA,Cluster-009,Cluster-009
standard_rsp,A1F976428A5C22CC272C61949CE11753,Cluster-018,Cluster-018
standard_rsp,F469F10DE46F2064FEA4FA1C2520472E,Cluster-014,Cluster-014
standard_rsp,9F55D7939E6001A41629500FF84C4E25,Cluster-008,Cluster-008
standard_rsp,B4A13C21F5413895E62BCC4BB92C274D,Cluster-001,Cluster-001
standard_rsp,E02E25F5DCCB50ECD15BD1001793DE20,Cluster-005,Cluster-005
standard_rsp,E0AFC72ACCA4B77CC3FE9E3773688787,Cluster-004,Cluster-004
standard_rsp,FF07E4E2EC2521873C2083A6A3D7DA80,Cluster-020,Cluster-020
standard_rsp,5D6755BEB09608824DBBC8F614D708FD,Cluster-011,Cluster-011
standard_rsp,1AE4080DB1EE09B20FABE2BDFEF25EB0,Cluster-015,Cluster-015
standard_rsp,1C2E9743494F467C2C8765281A657809,Cluster-016,Cluster-016
standard_rsp,89190A72B0AAE9476FF4E18680F7AF80,Cluster-007,Cluster-007
standard_rsp,B0BC54D7F9D27DAFCCA0FEB118B4C9C1,Cluster-010,Cluster-010
standard_rsp,2A38165D65B9377841E216E5A1982BD4,Cluster-011,Cluster-011
standard_rsp,1833C4FB73378D6F6876B47114E11CFC,Cluster-014,Cluster-014
standard_rsp,8FBDB66F4E8003617F4F550C40122DD4,Cluster-020,Cluster-020
standard_rsp,89AB09B4BBADEA27A3C5E89388245B39,Cluster-002,Cluster-002
standard_rsp,44DF46D7F10B803DCEA07400883BDBE4,Cluster-012,Cluster-012
standard_rsp,B39EDECB0E36A900240831A3A93A309A,Cluster-001,Cluster-001
aura_rsp,C1588AB4B64D9BF72EF0BE4CAAB90B03,Cluster-063,Cluster-001
aura_rsp,BC4C8C016E4405E3EB0440C04A55E6DB,Cluster-060,Cluster-001
aura_rsp,C2B8D85F7A52CA4A84F71D062B5DF633,Cluster-064,Cluster-001
aura_rsp,282682FC8B65852D2B154BFF4041E9F5,Cluster-022,Cluster-001
aura_rsp,1110423AD5E1627FCB0AAA12B0EF1509,Cluster-008,Cluster-001
aura_rsp,DA95373542EEC42C5AD2A6CB02E55706,Cluster-073,Cluster-001
aura_rsp,5A9E95CBEC37F1D66D1E6F16F9293D3B,Cluster-037,Cluster-001
aura_rsp,82CE8B45EDB5F60D6FF09A52043B0207,Cluster-046,Cluster-001
aura_rsp,6D6EAD31C1CEE35D10C9834489577BB6,Cluster-040,Cluster-001
aura_rsp,24417CF16A95577FBEAB0C9588CA664C,Cluster-018,Cluster-001
aura_rsp,87A96A6895E62951406607DA14E0CAE6,Cluster-050,Cluster-001
aura_rsp,0713C86ABA1CB4BEA7E9F15DD154AF1F,Cluster-003,Cluster-001
aura_rsp,E0ACECDAE2EE83F1064F82E80CE0A637,Cluster-075,Cluster-001
aura_rsp,27795F94FFEE536463CA30BDDD58A14E,Cluster-021,Cluster-001
aura_rsp,69ABC622FAC7CA1DB6FF821DBEC54D7F,Cluster-039,Cluster-001
aura_rsp,430C39AA98FD62C0556E7494B23A1D69,Cluster-028,Cluster-001
aura_rsp,3F4F2D668F5EF15AA89F5D69CD5CC047,Cluster-027,Cluster-001
aura_rsp,A906B15B22A7735F114CD8973DCF056D,Cluster-057,Cluster-001
aura_rsp,E460DA32616E36EBDB8015836B3E5003,Cluster-076,Cluster-001
aura_rsp,87411055A022D547FCE682C40B40C58C,Cluster-048,Cluster-001
aura_rsp,141090A8EFC7076090362243A7193282,Cluster-011,Cluster-001
aura_rsp,06D8D77D450F41117C9463E2BEF1F3AE,Cluster-002,Cluster-001
aura_rsp,4F502921E3A8D058878BAACEF8B54009,Cluster-031,Cluster-001
aura_rsp,FBB46B27CDBF201FF5AB66BF5D82A616,Cluster-080,Cluster-001
aura_rsp,87A8087AB7203B4235D40323FF93611A,Cluster-049,Cluster-001
aura_rsp,019DE36DF5096BB9E75F7E04E9C7AEB4,Cluster-001,Cluster-001
aura_rsp,DE197A0948A8086AC5829B6609439C1E,Cluster-074,Cluster-001
aura_rsp,E99CD794630A13E587EB7DD4DEA0F15A,Cluster-077,Cluster-001
aura_rsp,0AC3C6537AA0589251C5D0BEC6E5CBAD,Cluster-006,Cluster-001
aura_rsp,3F20E2AABF2A17A3FFE0DE0CA825D345,Cluster-026,Cluster-001
aura_rsp,46914D31CE3F3DC6A5AFA933B2233B56,Cluster-029,Cluster-001
aura_rsp,08D637908080C3C8EA8E8D14BFBCC9CF,Cluster-004,Cluster-001
aura_rsp,7E9CC2ACE23E327BE1D53805566455FF,Cluster-044,Cluster-001
aura_rsp,23FA59C7026D2B542F83465696D41D84,Cluster-017,Cluster-001
aura_rsp,D5CE5405D90A0BC24EBE4DAAE28FCBBC,Cluster-071,Cluster-001
aura_rsp,1BEAF29877E24F5EB211698F6AFFFBE3,Cluster-013,Cluster-001
aura_rsp,BC039C048BE7E834B044F1A4CDBB0470,Cluster-059,Cluster-001
aura_rsp,2171150B8213FE777A592DE8895E85CC,Cluster-014,Cluster-001
aura_rsp,167418295F5C0000D7BF8752DB5051CD,Cluster-012,Cluster-001
aura_rsp,0F7D77B7E2F128CC2BD770DE4FEE77E9,Cluster-007,Cluster-001
aura_rsp,29C8C30F7FAD2B57434413AC91CB6678,Cluster-023,Cluster-001
aura_rsp,0A19CE0FA544400B9D889875555F7DEE,Cluster-005,Cluster-001
aura_rsp,134F48A95729EFE06521D261B9DACB96,Cluster-009,Cluster-001
aura_rsp,23EF3D7E74D39E45FB7BA2BE0144A962,Cluster-016,Cluster-001
aura_rsp,88BA68E105467FD58E936755CF78DD9C,Cluster-051,Cluster-001
aura_rsp,80536E9D7FC36ADD2EEC6B9A17E1A449,Cluster-045,Cluster-001
aura_rsp,9DEE09480F69F547E3E43DE34FDBD3F7,Cluster-054,Cluster-001
aura_rsp,BE34D2D3BED70BAB43590E17B5A1733D,Cluster-062,Cluster-001
aura_rsp,5194162685D987938BB77CCBC10FB681,Cluster-032,Cluster-001
aura_rsp,83675168A3DF16ACF8A0B36B090AE2F0,Cluster-047,Cluster-001
aura_rsp,55451B65A7B1D031BCD6CBB0CDCE1327,Cluster-034,Cluster-001
aura_rsp,244A3E3F49A23740F114B6698C62808B,Cluster-019,Cluster-001
aura_rsp,C88F57B7C51834003EA1540720577589,Cluster-065,Cluster-001
aura_rsp,26361F0BE23ADBA6DBAE503EE32A0866,Cluster-020,Cluster-001
aura_rsp,5238F1B944146F701B4477DD53BBD9A4,Cluster-033,Cluster-001
aura_rsp,898678B0529A15D1103DCF0CD0EB2DD9,Cluster-052,Cluster-001
aura_rsp,EE684DCCE6F91D6DBA14D5B0F82EF9D4,Cluster-078,Cluster-001
aura_rsp,13A73CADBED84CC91113B6110A026A49,Cluster-010,Cluster-001
aura_rsp,CF2CE60AFF12642FB7511C390C337E92,Cluster-069,Cluster-001
aura_rsp,CC21DC9E7C8692221B503E587E300362,Cluster-068,Cluster-001
aura_rsp,55FE4C2A6A727C92F5AA56CB4C2232FA,Cluster-035,Cluster-001
aura_rsp,7D6701CCB2E91072221E138DB961F0DE,Cluster-043,Cluster-001
aura_rsp,D466355120B2B5CD834F638B7624EBD0,Cluster-070,Cluster-001
aura_rsp,33289073FB2779C5A6743CA4B35D4448,Cluster-024,Cluster-001
aura_rsp,7259A56E6C6CA10FD0ED9898046DBBF1,Cluster-041,Cluster-001
aura_rsp,360C11A9BE27EBAEAAF924348BA4C0B6,Cluster-025,Cluster-001
aura_rsp,F5C633B4DA6D43AF3DD3BAC097F88443,Cluster-079,Cluster-001
aura_rsp,698F76A2301120B085C6465080115D6A,Cluster-038,Cluster-001
aura_rsp,A33B631C337001D03236223807E8D1F9,Cluster-055,Cluster-001
aura_rsp,A775013EB70067881F8CC11DDF436DCB,Cluster-056,Cluster-001
aura_rsp,BD1D217B30C602E8600BBB487F57CDA9,Cluster-061,Cluster-001
aura_rsp,8F9AAF64EC6DAC84EAF0EC7924A16FEA,Cluster-053,Cluster-001
aura_rsp,2283E780BACA96EA04333B9F23E1EABE,Cluster-015,Cluster-001
aura_rsp,57A1D4CE176D70D53EAA261C553E89EB,Cluster-036,Cluster-001
aura_rsp,B1B43D33C3DDA3D2737F8299F519CD52,Cluster-058,Cluster-001
aura_rsp,742A3F8942E8A43A72187244FEB07467,Cluster-042,Cluster-001
aura_rsp,D67EE8ABADD5E91DFB4F4520D438693B,Cluster-072,Cluster-001
aura_rsp,49FB7B082DC45DBF8DD86C7DAE1C81D9,Cluster-030,Cluster-001
aura_rsp,C8DBD53AA3B6F9839A036141F1081CCB,Cluster-066,Cluster-001
aura_rsp,CB079E9675DA62432F4B156B7887A05D,Cluster-067,Cluster-001
