protocol_mode,transaction_id,logical_download_id,true_device_id
aura_rsp,DE197A0948A8086AC5829B6609439C1E,D07-M02,Device-07
standard_rsp,DFC3C8DBC6DAF25BDB0AB305EC1A2E53,D15-M01,Device-15
aura_rsp,E99CD794630A13E587EB7DD4DEA0F15A,D15-M01,Device-15
standard_rsp,F059F1013762CC82CEAAD84EE854C16D,D01-M02,Device-01
aura_rsp,0AC3C6537AA0589251C5D0BEC6E5CBAD,D01-M02,Device-01
standard_rsp,2D5AFE119DD5554136DEB21223769260,D01-M04,Device-01
aura_rsp,3F20E2AABF2A17A3FFE0DE0CA825D345,D01-M04,Device-01
standard_rsp,433A8B45899B0580A21BACA504D6910B,D05-M02,Device-05
aura_rsp,46914D31CE3F3DC6A5AFA933B2233B56,D05-M02,Device-05
standard_rsp,F7B8731B39E1DFE12513786CD36F47F9,D19-M01,Device-19
aura_rsp,08D637908080C3C8EA8E8D14BFBCC9CF,D19-M01,Device-19
standard_rsp,AEE020E771106FB47F79955C14077F25,D14-M02,Device-14
aura_rsp,7E9CC2ACE23E327BE1D53805566455FF,D14-M02,Device-14
standard_rsp,AC1E270A7B15CCF55DE282F71F1131D2,D20-M02,Device-20
aura_rsp,23FA59C7026D2B542F83465696D41D84,D20-M02,Device-20
standard_rsp,439943ED4907AFEEC3A22C0B67F3306C,D10-M04,Device-10
aura_rsp,D5CE5405D90A0BC24EBE4DAAE28FCBBC,D10-M04,Device-10
standard_rsp,9E0DA79434D5DC44A35496943DB44645,D17-M01,Device-17
aura_rsp,1BEAF29877E24F5EB211698F6AFFFBE3,D17-M01,Device-17
standard_rsp,57FAC97F26480CAD7640FD0B43B32938,D13-M03,Device-13
aura_rsp,BC039C048BE7E834B044F1A4CDBB0470,D13-M03,Device-13
standard_rsp,8E94B36132484D45F5592B27E761135F,D19-M04,Device-19
aura_rsp,2171150B8213FE777A592DE8895E85CC,D19-M04,Device-19
standard_rsp,A10D0933E2F92B510572E15705B001AE,D13-M04,Device-13
aura_rsp,167418295F5C0000D7BF8752DB5051CD,D13-M04,Device-13
standard_rsp,C1F40927BE1C3DA3C803F31ABED1F446,D19-M02,Device-19
aura_rsp,0F7D77B7E2F128CC2BD770DE4FEE77E9,D19-M02,Device-19
standard_rsp,38D84C19349E14D61B05D3D1011653D3,D05-M03,Device-05
aura_rsp,29C8C30F7FAD2B57434413AC91CB6678,D05-M03,Device-05
standard_rsp,E3FB2D77A628349EA7BEF9632124B319,D18-M01,Device-18
aura_rsp,0A19CE0FA544400B9D889875555F7DEE,D18-M01,Device-18
standard_rsp,235C951AB0B7A5191BF9A3114E0CD7C9,D11-M04,Device-11
aura_rsp,134F48A95729EFE06521D261B9DACB96,D11-M04,Device-11
standard_rsp,1ADC98636ACD6BEFCC39DD529B7FA831,D03-M04,Device-03
aura_rsp,23EF3D7E74D39E45FB7BA2BE0144A962,D03-M04,Device-03
standard_rsp,A8FFB9BDC432A3B667D2084FDD781E3D,D08-M01,Device-08
aura_rsp,88BA68E105467FD58E936755CF78DD9C,D08-M01,Device-08
standard_rsp,FD0A52E8F652CCE92A93CA67701011D0,D12-M01,Device-12
aura_rsp,80536E9D7FC36ADD2EEC6B9A17E1A449,D12-M01,Device-12
standard_rsp,D92EC94A720B804FC73241CE930FD3F8,D09-M02,Device-09
aura_rsp,9DEE09480F69F547E3E43DE34FDBD3F7,D09-M02,Device-09
standard_rsp,5A3F7B2F974C72CE9F2B8926FA9E2D9A,D05-M01,Device-05
aura_rsp,BE34D2D3BED70BAB43590E17B5A1733D,D05-M01,Device-05
standard_rsp,DB432930212040410D537C1880518580,D09-M01,Device-09
aura_rsp,5194162685D987938BB77CCBC10FB681,D09-M01,Device-09
standard_rsp,D30D486F990613D3099334A00CA80D7B,D13-M01,Device-13
aura_rsp,83675168A3DF16ACF8A0B36B090AE2F0,D13-M01,Device-13
standard_rsp,6D44A4596340019F71E5D4C816F82A9E,D04-M01,Device-04
aura_rsp,55451B65A7B1D031BCD6CBB0CDCE1327,D04-M01,Device-04
standard_rsp,BE59077548420BF14AD78F08260E9F4F,D06-M01,Device-06
aura_rsp,244A3E3F49A23740F114B6698C62808B,D06-M01,Device-06
standard_rsp,4242BB2A541CD87D9CF75D4AEF1A4099,D07-M03,Device-07
aura_rsp,C88F57B7C51834003EA1540720577589,D07-M03,Device-07
standard_rsp,F6CDFBA38350AA2B89D7B52D59AC6874,D04-M04,Device-04
aura_rsp,26361F0BE23ADBA6DBAE503EE32A0866,D04-M04,Device-04
standard_rsp,6984D13115E21F4B1D39000C1A6E8EC4,D09-M04,Device-09
aura_rsp,5238F1B944146F701B4477DD53BBD9A4,D09-M04,Device-09
standard_rsp,1EB1B158170AFC28B625A093ED8C6A1B,D18-M03,Device-18
aura_rsp,898678B0529A15D1103DCF0CD0EB2DD9,D18-M03,Device-18
standard_rsp,C4E558C5DC5B190496501F64DB26B594,D15-M02,Device-15
aura_rsp,EE684DCCE6F91D6DBA14D5B0F82EF9D4,D15-M02,Device-15
standard_rsp,5811858671DC765405F82A3E87B2C925,D07-M04,Device-07
aura_rsp,13A73CADBED84CC91113B6110A026A49,D07-M04,Device-07
standard_rsp,3D24E8FC456C67A0BB0A86DD671ADBA6,D04-M03,Device-04
aura_rsp,CF2CE60AFF12642FB7511C390C337E92,D04-M03,Device-04
standard_rsp,21133C2333313A01D34276358D0FCF2A,D08-M03,Device-08
aura_rsp,CC21DC9E7C8692221B503E587E300362,D08-M03,Device-08
standard_rsp,17663E7E40AF7B1EABCC3A336F0FD45F,D20-M01,Device-20
aura_rsp,55FE4C2A6A727C92F5AA56CB4C2232FA,D20-M01,Device-20
standard_rsp,B981B563BDD4C5BA38A2CEBB185F92FA,D01-M03,Device-01
aura_rsp,7D6701CCB2E91072221E138DB961F0DE,D01-M03,Device-01
standard_rsp,A1F976428A5C22CC272C61949CE11753,D18-M02,Device-18
aura_rsp,D466355120B2B5CD834F638B7624EBD0,D18-M02,Device-18
standard_rsp,F469F10DE46F2064FEA4FA1C2520472E,D02-M02,Device-02
aura_rsp,33289073FB2779C5A6743CA4B35D4448,D02-M02,Device-02
standard_rsp,9F55D7939E6001A41629500FF84C4E25,D10-M01,Device-10
aura_rsp,7259A56E6C6CA10FD0ED9898046DBBF1,D10-M01,Device-10
standard_rsp,B4A13C21F5413895E62BCC4BB92C274D,D17-M04,Device-17
aura_rsp,360C11A9BE27EBAEAAF924348BA4C0B6,D17-M04,Device-17
standard_rsp,E02E25F5DCCB50ECD15BD1001793DE20,D13-M02,Device-13
aura_rsp,F5C633B4DA6D43AF3DD3BAC097F88443,D13-M02,Device-13
standard_rsp,E0AFC72ACCA4B77CC3FE9E3773688787,D14-M01,Device-14
aura_rsp,698F76A2301120B085C6465080115D6A,D14-M01,Device-14
standard_rsp,FF07E4E2EC2521873C2083A6A3D7DA80,D12-M03,Device-12
aura_rsp,A33B631C337001D03236223807E8D1F9,D12-M03,Device-12
standard_rsp,5D6755BEB09608824DBBC8F614D708FD,D06-M02,Device-06
aura_rsp,A775013EB70067881F8CC11DDF436DCB,D06-M02,Device-06
standard_rsp,1AE4080DB1EE09B20FABE2BDFEF25EB0,D09-M03,Device-09
aura_rsp,BD1D217B30C602E8600BBB487F57CDA9,D09-M03,Device-09
standard_rsp,1C2E9743494F467C2C8765281A657809,D16-M01,Device-16
aura_rsp,8F9AAF64EC6DAC84EAF0EC7924A16FEA,D16-M01,Device-16
standard_rsp,89190A72B0AAE9476FF4E18680F7AF80,D20-M04,Device-20
aura_rsp,2283E780BACA96EA04333B9F23E1EABE,D20-M04,Device-20
standard_rsp,B0BC54D7F9D27DAFCCA0FEB118B4C9C1,D03-M01,Device-03
aura_rsp,57A1D4CE176D70D53EAA261C553E89EB,D03-M01,Device-03
standard_rsp,2A38165D65B9377841E216E5A1982BD4,D06-M03,Device-06
aura_rsp,B1B43D33C3DDA3D2737F8299F519CD52,D06-M03,Device-06
standard_rsp,1833C4FB73378D6F6876B47114E11CFC,D02-M04,Device-02
aura_rsp,742A3F8942E8A43A72187244FEB07467,D02-M04,Device-02
standard_rsp,8FBDB66F4E8003617F4F550C40122DD4,D12-M02,Device-12
aura_rsp,D67EE8ABADD5E91DFB4F4520D438693B,D12-M02,Device-12
standard_rsp,89AB09B4BBADEA27A3C5E89388245B39,D08-M04,Device-08
aura_rsp,49FB7B082DC45DBF8DD86C7DAE1C81D9,D08-M04,Device-08
standard_rsp,44DF46D7F10B803DCEA07400883BDBE4,D11-M02,Device-11
aura_rsp,C8DBD53AA3B6F9839A036141F1081CCB,D11-M02,Device-11
standard_rsp,B39EDECB0E36A900240831A3A93A309A,D17-M03,Device-17
aura_rsp,CB079E9675DA62432F4B156B7887A05D,D17-M03,Device-17
